coating_code,coating_modifier,descriptor_count_used
193-MAT-001,0.06801103561796706,4
193-MAT-002,0.08844433937646992,4
193-MAT-003,-0.04005467260452982,4
193-MAT-004,0.02635832761459547,4
193-MAT-005,-0.03478823054160294,4
193-MAT-006,0.033550330720559574,4
193-MAT-007,0.11682152667543227,4
193-MAT-008,0.057438350459816157,4
193-MAT-009,-0.028818065828958784,4
193-MAT-010,-0.07291560916402302,4
193-MAT-011,-0.03461029382288148,4
193-MAT-012,0.05249539154087457,4
193-MAT-013,-0.0438986982405887,4
193-MAT-014,-0.03904883467146878,4
193-MAT-015,-0.03551582014119248,4
193-MAT-016,-0.022869613317175297,4
193-MAT-017,0.011053483820785371,4
193-MAT-018,-0.068577820402338,4
193-MAT-019,0.08939385097442526,4
193-MAT-020,0.11877225080314227,4
193-MAT-021,0.08833566358489336,4
193-MAT-022,0.019472621164780213,4
193-MAT-023,-0.09586096521409618,4
193-MAT-024,-0.023115489535238967,4
193-MAT-025,-0.01854910908627543,4
193-MAT-026,-0.03519919983376416,4
193-MAT-027,-0.17667461152795122,4
193-MAT-028,-0.027526797432570763,3
193-MAT-029,0.14943788394096402,4
193-MAT-030,0.06458786233570128,4
193-MAT-031,0.038983816987584734,4
193-MAT-032,0.046568734305295845,4
193-MAT-033,0.029894107517561965,4
193-MAT-034,-0.008127716653018235,3
193-MAT-035,-0.1635788069529349,4
193-MAT-036,-0.13852788742554542,4
193-MAT-037,-0.07265389513401817,4
193-MAT-038,-0.06424239878939819,4
193-MAT-039,-0.06513640707631459,4
193-MAT-040,-0.044478179334495875,4
193-MAT-041,-0.045608986994638535,4
193-MAT-042,-0.04628395567774393,4
193-MAT-043,-0.03899353202405938,4
193-MAT-044,-0.044247332654048746,4
193-MAT-045,-0.03681260356307412,4
193-MAT-046,-0.034805232882453144,4
193-MAT-047,-0.09729804839772016,4
193-MAT-048,-0.07422507435581559,4
193-MAT-049,-0.07870790714528159,4
193-MAT-050,-0.14318320752646915,4
193-MAT-051,-0.1468272742696989,4
193-MAT-052,-0.06868884479095974,4
193-MAT-053,-0.058829513315040695,4
193-MAT-054,-0.04996131182162174,4
193-MAT-055,-0.035637960101762726,4
193-MAT-056,-0.03265846852400929,4
193-MAT-057,-0.050770802899588574,4
193-MAT-058,-0.11678768824566033,4
193-MAT-059,-0.14910115835424329,2
193-MAT-060,-0.10092013021293847,4
193-MAT-061,0.002718867081428522,2
193-MAT-062,0.04364658696896826,4
193-MAT-063,0.04427161192412954,4
193-MAT-064,0.08971489101981939,3
193-MAT-065,0.10368225642426863,4
193-MAT-066,0.12494981582647338,4
193-MAT-067,0.06209752789261738,4
193-MAT-068,-0.014738834076688767,4
193-MAT-069,0.0314778190954153,3
193-MAT-070,0.07427143557900107,4
193-MAT-071,-0.029215755160969283,4
193-MAT-072,-0.033282197790241046,4
193-MAT-073,-0.03496194343988648,4
193-MAT-074,-0.03765383881722471,4
193-MAT-075,-0.041922954142411345,4
193-MAT-076,-0.012427750051735999,4
193-MAT-077,0.06597584848599061,4
193-MAT-078,0.06388346540345662,4
193-MAT-079,0.11173472898056991,4
193-MAT-080,0.11877225080314227,4
193-MAT-081,0.04558626120994389,3
193-MAT-082,-0.10895393861069468,4
193-MAT-083,-0.02723091005812117,4
193-MAT-084,-0.02295143031822964,4
193-MAT-085,-0.12230777162891418,2
193-MAT-086,-0.10396644644873308,4
193-MAT-087,-0.08954311032796834,4
193-MAT-088,0.0666109049882774,4
193-MAT-089,0.0831251904402997,4
193-MAT-090,-0.04005467260452982,4
193-MAT-091,-0.042658182052186036,4
193-MAT-092,-0.03619614651099057,4
193-MAT-093,-0.02865753298508147,4
193-MAT-094,-0.03333349216324355,4
193-MAT-095,-0.0451911053488278,4
193-MAT-096,-0.03545806571061823,4
193-MAT-097,-0.00431031519609526,2
193-MAT-098,-0.016211037561051824,3
193-MAT-099,0.050227863381165694,4
193-MAT-100,0.08833566358489336,4
193-MPI-101,0.19144273078583016,2
193-MPI-102,0.0587711446453822,3
193-MPI-103,0.05855574346067569,3
193-MPI-104,0.06382978723404253,3
193-MPI-105,-0.12899073746893663,2
193-MPI-106,-0.0036641116419757315,2
193-MPI-107,-0.009211837899150989,2
193-MPI-108,0.06669554418618318,3
193-MPI-109,0.06629414559635553,3
193-MPI-110,0.06857419005149361,3
193-MPI-111,0.06829103755781603,3
193-MPI-112,0.06906327372000853,3
193-MPI-113,0.06721403163428348,3
193-MPI-114,0.06801735507400762,3
193-MPI-115,0.06290043118624537,3
193-MPI-116,0.06779806063333962,3
193-MPI-117,0.06731287022078623,3
193-MPI-118,-0.003341009864915945,2
193-MPI-119,0.06126659028522688,3
193-MPI-120,0.06850643874252253,3
193-MPI-121,0.0674605200965217,3
193-MPI-122,0.06521713967282294,3
193-MPI-123,0.06496507445667708,3
193-MPI-124,-0.1375650218751563,3
193-MPI-125,-0.023081153542089172,2
193-MPI-126,0.06872183992722909,3
193-MPI-127,0.06748939761603814,3
193-MPI-128,0.06724511891181516,3
193-MPI-129,0.06262674870243701,3
193-MPI-130,0.06694034915047507,3
193-MAT-131,0.0606919760417545,4
193-MAT-132,0.07414842058227067,2
193-MAT-133,0.060115172400288054,4
193-MAT-134,0.07256710295760227,4
193-MAT-135,-0.03548453679525474,4
193-MAT-136,-0.021693783499679944,4
193-MAT-137,-0.034067747051947705,4
193-MAT-138,-0.05552217963262451,4
193-MAT-139,-0.0037426905728577434,4
193-MAT-140,-0.1454296219464399,3
193-MAT-141,-0.06739643768272066,4
193-MAT-142,-0.14471053953369659,4
193-MAT-143,-0.05157383355058825,4
193-MAT-144,-0.020938046145685885,4
193-MAT-145,-0.07709239825998271,4
