Polyethylene (HDPE),0.95,131,1.92,0.48,120,341,349,HB,17.4,15,5,340,43.5,110,
Polypropylene (PP),0.91,165,1.92,0.15,150,330,357,HB,17.5,20,2,320,44,150,
Polystyrene (GPPS),1.05,240,1.3,0.13,70,345,427,HB,18.2,100,0,350,41.8,170,
Polyvinyl Chloride (PVC),1.38,212,0.9,0.19,50,391,454,V-0,47,250,45,280,18.5,15,
Polycarbonate (PC),1.2,265,1.25,0.21,68,449,580,V-2,26,40,25,430,30.5,10,
Nylon 66 (PA66),1.14,263,1.67,0.25,80,400,450,V-2,24,30,15,410,32,60,
ABS Resin,1.05,220,1.45,0.18,90,380,416,HB,18.8,85,10,360,35.6,140,
Polytetrafluoroethylene (PTFE),2.16,327,1,0.25,124,530,530,V-0,95,2,0,510,5.1,5,
Polyetheretherketone (PEEK),1.31,343,1.34,0.25,47,570,595,V-0,35,10,50,575,28.4,10,
Polyimide (PI),1.43,400,1.13,0.15,40,580,610,V-0,38,8,62,600,25.2,5,
Phenolic Resin,1.28,300,1.21,0.2,35,530,560,V-0,42,5,58,450,22.1,5,
Epoxy Resin,1.18,150,1.15,0.22,62,385,410,V-0,26,110,28,355,31.2,20,
Polyurethane (Rigid),0.06,190,1.48,0.03,72,355,415,HB,19.2,160,22,310,27.5,200,
Silicone Rubber,1.22,310,1.25,0.2,260,435,460,V-1,31,22,42,410,21.3,15,
PET (Amorphous),1.34,255,1.15,0.24,65,400,480,V-2,22,60,15,400,22,80,
PMMA (Acrylic),1.18,160,1.46,0.19,75,300,430,HB,17.2,70,0,300,26.2,160,
Acetal (POM),1.42,175,1.47,0.23,105,320,375,HB,15,10,0,230,22.5,180,
Polyphenylene Sulfide (PPS),1.35,285,1.09,0.29,49,540,550,V-0,44,12,48,500,25,5,
Polysulfone (PSU),1.24,190,1.05,0.26,55,490,545,V-0,30,30,35,460,24,10,
Polyetherimide (PEI),1.27,215,1.18,0.22,56,535,540,V-0,47,5,52,510,26,5,
Polyamide-imide (PAI),1.42,275,1,,31,560,600,V-0,43,10,55,520,24.5,5,
Polybutylene Terephthalate (PBT),1.31,223,1.2,0.21,80,360,420,HB,20,55,12,380,25.5,120,
Liquid Crystal Polymer (LCP),1.61,330,1.05,0.45,5,540,560,V-0,45,5,50,540,24,5,
Polyethylene Terephthalate (PET-G),1.27,225,1.2,0.25,60,380,450,HB,21,65,14,390,23,90,
Fluorinated Ethylene Propylene (FEP),2.15,260,1.17,0.24,130,510,520,V-0,95,3,0,480,5.2,5,
Perfluoroalkoxy (PFA),2.15,305,1.17,0.25,120,520,530,V-0,95,3,0,500,5.1,5,
Ethylene Tetrafluoroethylene (ETFE),1.73,267,1.9,0.24,90,470,490,V-0,30,15,0,460,13.8,10,
Polyvinylidene Fluoride (PVDF),1.78,172,1.3,0.19,120,440,460,V-0,44,20,25,450,14.5,10,
Chlorotrifluoroethylene (PCTFE),2.13,213,0.9,0.2,70,500,515,V-0,95,5,0,480,6,5,
Polyethersulfone (PES),1.37,225,1.1,0.18,55,510,550,V-0,38,15,40,530,24,10,
Polyphenylene Oxide (PPO),1.06,260,1.3,0.22,60,420,480,V-1,28,45,20,440,29,25,
Ethylene Vinyl Acetate (EVA),0.94,95,2.1,0.3,180,260,340,HB,18,40,5,320,41,160,
Styrene Acrylonitrile (SAN),1.08,115,1.3,0.15,70,350,430,HB,18.5,90,8,350,38,150,
Cellulose Acetate,1.3,230,1.5,0.2,110,290,410,HB,18,120,15,300,19,160,
Urea-Formaldehyde,1.5,N/A,1.4,0.35,30,500,530,V-0,35,10,45,250,15,10,
Melamine-Formaldehyde,1.55,N/A,1.5,0.4,25,550,580,V-0,45,5,55,300,14,5,
Cyanate Ester,1.2,N/A,1.2,0.25,40,560,590,V-0,32,15,45,450,28,10,
Bismaleimide (BMI),1.35,N/A,1.1,0.22,35,580,620,V-0,36,12,50,500,26,5,
Vinyl Ester,1.15,120,1.2,0.2,65,370,420,HB,20,130,15,350,32,120,
Polyester (Thermoset),1.25,130,1.1,0.2,70,350,400,HB,19,150,12,340,30,150,
Carbon Fiber Epoxy Composite,1.55,N/A,1,5,1,N/A,N/A,V-0,45,10,60,400,28,5,
Glass Fiber Reinforced PP,1.12,165,1.5,0.3,35,330,360,HB,22,45,15,350,35,100,
Glass Fiber Reinforced PA66,1.35,263,1.3,0.4,25,400,450,HB,24,50,25,420,28,80,
Wood (Oak),0.75,N/A,2,0.17,4,230,270,HB,22,100,25,250,19,100,
Wood (Pine),0.45,N/A,2.3,0.12,5,220,250,HB,20,120,20,240,20,130,
Aluminum 6061-T6,2.7,582,0.89,167,23.6,N/A,N/A,Non,0,0,0,582,0,0,
Stainless Steel 304,8,1400,0.5,16.2,17.2,N/A,N/A,Non,0,0,0,1400,0,0,
Carbon Steel 1018,7.87,1480,0.48,51.9,11.7,N/A,N/A,Non,0,0,0,1480,0,0,
Titanium 6Al-4V,4.43,1604,0.52,6.7,8.6,N/A,N/A,Non,0,0,0,1604,0,0,
Copper (C11000),8.94,1083,0.38,391,16.9,N/A,N/A,Non,0,0,0,1083,0,0,
Brass (C36000),8.5,885,0.38,115,20.5,N/A,N/A,Non,0,0,0,885,0,0,
Inconel 625,8.44,1290,0.41,9.8,12.8,N/A,N/A,Non,0,0,0,1290,0,0,
Magnesium AZ31B,1.77,482,1.02,96,26,N/A,473,HB,0,0,0,482,25,200,
Alumina (99.5%),3.9,2050,0.8,30,8,N/A,N/A,Non,0,0,0,2050,0,0,
Silicon Carbide,3.1,2730,0.7,120,4,N/A,N/A,Non,0,0,0,2730,0,0,
Boron Nitride,2.1,2973,0.8,30,1,N/A,N/A,Non,0,0,0,2973,0,0,
Zirconia,5.68,2715,0.4,2,10,N/A,N/A,Non,0,0,0,2715,0,0,
Glass (Borosilicate),2.23,1260,0.75,1.1,3.3,N/A,N/A,Non,0,0,0,1260,0,0,
Graphite,2.2,3650,0.71,150,2,N/A,N/A,Non,0,0,0,3650,0,0,
Kevlar 49,1.44,N/A,1.42,0.04,-2,N/A,450,V-0,29,10,35,500,30,10,
Nomex,1.38,N/A,1.2,0.13,20,N/A,520,V-0,30,15,40,430,25,10,
Tantalum,16.6,2996,0.14,57,6.3,N/A,N/A,Non,0,0,0,2996,0,0,
Tungsten,19.3,3422,0.13,173,4.5,N/A,N/A,Non,0,0,0,3422,0,0,
Molybdenum,10.2,2623,0.25,138,4.8,N/A,N/A,Non,0,0,0,2623,0,0,
Silver,10.5,961,0.23,429,18.9,N/A,N/A,Non,0,0,0,961,0,0,
Gold,19.3,1064,0.13,317,14.2,N/A,N/A,Non,0,0,0,1064,0,0,
Lead,11.3,327,0.13,35,28.9,N/A,N/A,Non,0,0,0,327,0,0,
Zinc Alloy (Zamak 3),6.6,381,0.41,113,27.4,N/A,N/A,Non,0,0,0,381,0,0,
Nickel 200,8.89,1440,0.45,70,13.3,N/A,N/A,Non,0,0,0,1440,0,0,
Hastelloy C-276,8.89,1370,0.42,10.2,11.2,N/A,N/A,Non,0,0,0,1370,0,0,
Cobalt Chrome,8.3,1350,0.45,13,12.5,N/A,N/A,Non,0,0,0,1350,0,0,
Solder (60/40 Sn-Pb),8.5,183,0.15,50,24,N/A,N/A,Non,0,0,0,183,0,0,
Iron (Pure),7.87,1538,0.45,80,11.8,N/A,N/A,Non,0,0,0,1538,0,0,
Beryllium,1.85,1287,1.82,190,11.3,N/A,N/A,Non,0,0,0,1287,0,0,
Zirconium,6.52,1855,0.27,22,5.7,N/A,N/A,Non,0,0,0,1855,0,0,
Niobium,8.57,2477,0.26,53,7.3,N/A,N/A,Non,0,0,0,2477,0,0,
Palladium,12,1555,0.24,71,11.8,N/A,N/A,Non,0,0,0,1555,0,0,
Platinum,21.5,1768,0.13,72,8.8,N/A,N/A,Non,0,0,0,1768,0,0,
Iridium,22.6,2446,0.13,147,6.4,N/A,N/A,Non,0,0,0,2446,0,0,
Rhodium,12.4,1964,0.24,150,8.2,N/A,N/A,Non,0,0,0,1964,0,0,
Cast Iron (Gray),7.15,1150,0.46,50,11,N/A,N/A,Non,0,0,0,1150,0,0,
Ductile Iron,7.1,1150,0.46,36,12,N/A,N/A,Non,0,0,0,1150,0,0,
Silicon (Pure),2.33,1414,0.71,149,2.6,N/A,N/A,Non,0,0,0,1414,0,0,
Germanium,5.32,938,0.32,60,6,N/A,N/A,Non,0,0,0,938,0,0,
Gallium,5.91,29.8,0.37,29,18,N/A,N/A,Non,0,0,0,29.8,0,0,
Indium,7.31,156,0.23,81,33,N/A,N/A,Non,0,0,0,156,0,0,
Lithium,0.53,180,3.58,85,46,N/A,179,HB,0,0,0,1342,43,300,
Sodium,0.97,97.8,1.23,142,70,N/A,115,HB,0,0,0,883,40,350,
Potassium,0.86,63.4,0.75,102,83,N/A,70,HB,0,0,0,759,38,400,
