Material Name,Density (g/cc),Melting Point (°C),Specific Heat (J/g-°C),Thermal Cond. (W/m-K),CTE (µm/m-°C),Flash Point (°C),Autoignition Temp (°C),UL94 Flammability,Limiting Oxygen Index (%),Smoke Density (Ds),Char Yield (%),Decomp. Temp (°C),Heat of Combustion (MJ/kg),Flame Spread Index,descriptor_count_used,Base_Resistance_Target
1,,0.62,-109.0,1.48,,-76.0,415.0,,,,0.0,,44.5,,5,0.4083862613459927
1-Butene,0.59,-185.0,1.55,,-80.0,385.0,,,,0.0,,45.2,,,4,0.41642468489777273
2-Butene (cis),0.62,-139.0,1.5,,-73.0,325.0,,,,0.0,,45.0,,,4,0.4036172250797663
2-Butene (trans),0.6,-105.0,1.5,,-73.0,325.0,,,,0.0,,45.0,,,4,0.405612998735554
A-286 Alloy,7.92,1370.0,0.46,15.1,16.0,,,Non,0.0,0.0,0.0,1370.0,0.0,0.0,7,0.5699235396202318
ABS (FR Grade),1.18,105.0,1.35,0.2,80.0,385.0,420.0,V-0,30.0,100.0,25.0,360.0,32.0,30.0,9,0.5341652372341189
ABS Pipe,1.05,,1.4,0.18,90.0,,415.0,HB,19.0,600.0,10.0,250.0,35.0,250.0,7,0.4279446093012878
ABS Resin,1.05,220.0,1.45,0.18,90.0,380.0,416.0,HB,18.8,85.0,10.0,360.0,35.6,140.0,9,0.4977950410628119
AIBN (Azobisisobutyronitrile),1.1,105.0,1.5,0.15,,,,,,500.0,15.0,105.0,24.0,,5,0.38877201867923306
AM-350 Steel,7.81,1410.0,0.45,15.5,11.5,,,Non,0.0,0.0,0.0,1410.0,0.0,0.0,7,0.5726088255946309
ASA (Acrylonitrile Styrene Acrylate),1.07,,1.4,0.18,90.0,,430.0,HB,19.0,500.0,8.0,270.0,33.0,250.0,7,0.4442986832813894
ASA Resin,1.07,105.0,1.3,0.17,95.0,375.0,410.0,HB,19.0,90.0,8.0,350.0,35.0,145.0,9,0.49137750385009465
ASTAR 811C,16.8,3005.0,0.14,50.0,6.5,,,Non,0.0,0.0,0.0,3005.0,0.0,0.0,7,0.6796846038237964
Acetal (Impact Modified),1.35,165.0,1.5,0.21,120.0,320.0,370.0,HB,15.0,12.0,0.0,230.0,23.0,190.0,9,0.47061394177031013
Acetal (POM),1.42,175.0,1.47,0.23,105.0,320.0,375.0,HB,15.0,10.0,0.0,230.0,22.5,180.0,9,0.4740670794044816
Acetaldehyde,0.78,-123.0,2.18,0.17,-38.0,175.0,,,,0.0,,25.1,,,4,0.36464698074042856
Acetic Acid,1.05,16.6,2.05,0.16,39.0,463.0,,,,0.0,,14.5,,,4,0.44659846827962535
Acetic Anhydride,1.08,-73.0,1.85,0.22,49.0,316.0,,,,0.0,,18.0,,,4,0.40357987879804924
Acetone,0.79,-95.0,2.15,0.16,-20.0,465.0,,,,0.0,,28.5,,,4,0.4413871121831841
Acetonitrile,0.78,-45.0,2.25,0.19,6.0,524.0,,,,0.0,,31.2,,,4,0.4597183882452469
Acetylene,0.001,-81.0,1.65,,-18.0,305.0,,,,0.0,,48.2,,,4,0.4020445933993123
Acoustic Ceiling Tile (Mineral),0.35,,0.85,0.06,7.0,,,V-0,35.0,30.0,40.0,400.0,15.0,20.0,6,0.6190733641801643
Acrolein,0.84,-87.0,2.15,0.15,-26.0,220.0,,,,0.0,,28.0,,,4,0.37855252157801134
Acrylic (Impact Modified),1.15,155.0,1.45,0.18,80.0,305.0,435.0,HB,17.5,75.0,0.0,305.0,26.5,155.0,9,0.48397183830863316
Acrylic Latex Caulk,1.5,,1.5,0.3,120.0,,,HB,22.0,150.0,10.0,240.0,22.0,80.0,6,0.5442112242874908
Acrylic Rubber (ACM),1.1,,1.775,0.21,185.0,330.0,390.0,HB,18.5,245.0,15.0,300.0,32.0,145.0,8,0.5147155562145806
Acrylic Sheet (PMMA),1.18,,1.45,0.19,75.0,,445.0,HB,18.0,100.0,5.0,280.0,26.0,100.0,7,0.5413602405545229
Acrylonitrile,0.81,-84.0,2.1,0.15,-1.0,481.0,,,,0.0,,32.5,,,4,0.4464001632098542
Actinium Metal,10.0,1050.0,0.12,12.0,14.9,,,Non,0.0,0.0,0.0,1050.0,0.0,0.0,7,0.5484412518250387
Adipic Acid,1.36,152.0,1.5,0.14,196.0,420.0,,,,20.0,338.0,18.6,,,5,0.5181441116640109
Adobe Brick (Sun-dried),1.75,,1.05,0.5,7.0,,,Non,0.0,0.0,0.0,600.0,0.0,0.0,6,0.5709886591010728
Aerogel (Silica Blanket),0.15,1200.0,0.8,0.015,3.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,7,0.5585110742290355
Aerogel (Silica),0.02,,0.75,0.01,3.0,,,Non,0.0,0.0,0.0,600.0,0.0,0.0,6,0.5709886591010728
Alabaster,2.32,,1.05,0.6,15.0,,,Non,0.0,0.0,0.0,150.0,0.0,0.0,6,0.5533540482381525
Alloy 19,8.5,1300.0,0.42,14.0,11.8,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0,7,0.5652242891650333
Alloy 20,8.05,1385.0,0.5,12.1,14.7,,,Non,0.0,0.0,0.0,1385.0,0.0,0.0,7,0.5709305218606314
Alloy 230,8.97,1300.0,0.4,8.9,12.7,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0,7,0.5652242891650333
Alloy 31,8.1,1350.0,0.5,11.5,15.2,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0,7,0.5685808966330322
Alloy 556,8.23,1330.0,0.45,10.5,14.5,,,Non,0.0,0.0,0.0,1330.0,0.0,0.0,7,0.5672382536458327
Alloy 59,8.6,1310.0,0.41,10.5,12.0,,,Non,0.0,0.0,0.0,1310.0,0.0,0.0,7,0.565895610658633
Alloy 625 (Inconel),8.44,1320.0,0.41,9.8,12.8,,,Non,0.0,0.0,0.0,1320.0,0.0,0.0,7,0.5665669321522329
Alloy 6B,8.38,1285.0,0.42,14.8,11.3,,,Non,0.0,0.0,0.0,1285.0,0.0,0.0,7,0.5642173069246336
Alloy 6K,8.44,1290.0,0.42,14.8,11.5,,,Non,0.0,0.0,0.0,1290.0,0.0,0.0,7,0.5645529676714335
Alloy 825 (Incoloy),8.14,1370.0,0.44,11.0,14.0,,,Non,0.0,0.0,0.0,1370.0,0.0,0.0,7,0.5699235396202318
Alloy C-22,8.69,1370.0,0.41,10.1,12.4,,,Non,0.0,0.0,0.0,1370.0,0.0,0.0,7,0.5699235396202318
Alloy HR-120,7.72,1370.0,0.48,11.3,15.5,,,Non,0.0,0.0,0.0,1370.0,0.0,0.0,7,0.5699235396202318
Alloy HR-160,8.08,1260.0,0.44,9.5,14.1,,,Non,0.0,0.0,0.0,1260.0,0.0,0.0,7,0.5625390031906342
Alnico 2,7.1,1250.0,0.46,40.0,12.4,,,Non,0.0,0.0,0.0,1250.0,0.0,0.0,7,0.5618676816970344
Alnico 5 (Magnet),7.3,1250.0,0.46,46.0,11.0,,,Non,0.0,0.0,0.0,1250.0,0.0,0.0,7,0.5618676816970344
Alnico 8,7.3,1250.0,0.46,42.0,11.0,,,Non,0.0,0.0,0.0,1250.0,0.0,0.0,7,0.5618676816970344
Alumel (Alloy N),8.6,1400.0,0.52,29.7,12.0,,,Non,0.0,0.0,0.0,1400.0,0.0,0.0,7,0.5719375041010312
Alumina (90%),3.6,1900.0,0.88,18.0,8.5,,,Non,0.0,0.0,0.0,1900.0,0.0,0.0,7,0.6055035787810203
