Coating_Code,Material_Base,Density_g_cc,Hardness_Vickers,Melting_Point_C,Thermal_Conductivity_W_mK,Emissivity_Total,Primary_Use,Source_Domain
193-MAT-001,Alumina-Titania,3.7,950.0,1840.0,1.5,0.9,High-wear dielectric applications,matweb.com
193-MAT-002,Chromium-Oxide,5.2,1250.0,2435.0,2.1,0.85,Seal rings and chemical resistance,matweb.com
193-MAT-003,Molybdenum,10.2,400.0,2623.0,138.0,0.15,Piston rings and scuff resistance,matweb.com
193-MAT-004,Tungsten-Carbide-Cobalt,14.5,1150.0,2870.0,100.0,0.4,Abrasive and erosive wear,matweb.com
193-MAT-005,Nickel-Chrome,8.1,350.0,1400.0,11.3,0.25,High-temp oxidation bond coat,matweb.com
193-MAT-006,YSZ-Zirconia,5.9,800.0,2700.0,0.8,0.4,Thermal barrier coating (TBC),matweb.com
193-MAT-007,Silicon-Carbide,3.21,2500.0,2730.0,120.0,0.92,Extreme hardness and stability,matweb.com
193-MAT-008,Titanium-Nitride,5.22,2300.0,2930.0,19.0,0.15,Cutting tool wear resistance,matweb.com
193-MAT-009,Cobalt-Chrome-Moly,8.3,600.0,1350.0,14.5,0.25,Biomedical implants,matweb.com
193-MAT-010,Copper-Nickel,8.9,150.0,1170.0,29.0,0.05,Marine biofouling resistance,matweb.com
193-MAT-011,Nickel-Aluminide,6.5,450.0,1638.0,75.0,0.3,Internal cooling oxidation,matweb.com
193-MAT-012,Boron-Nitride,2.1,50.0,2973.0,30.0,0.8,High-temp release agent,matweb.com
193-MAT-013,Hastelloy-C,8.9,250.0,1370.0,10.2,0.2,Pitting corrosion resistance,matweb.com
193-MAT-014,Inconel-625,8.44,300.0,1290.0,9.8,0.25,General aerospace corrosion,matweb.com
193-MAT-015,Stainless-Steel-316,8.0,220.0,1375.0,16.3,0.3,Food grade hygiene,matweb.com
193-MAT-016,Tantalum,16.6,180.0,3017.0,57.0,0.1,Acid reactor lining,matweb.com
193-MAT-017,Molybdenum-Disulfide,4.8,30.0,1185.0,19.0,0.85,Solid vacuum lubricant,matweb.com
193-MAT-018,Aluminum-Bronze,7.5,180.0,1040.0,45.0,0.15,Anti-galling surfaces,matweb.com
193-MAT-019,Hafnium-Oxide,9.68,1000.0,2758.0,1.1,0.85,High-k gate dielectrics,matweb.com
193-MAT-020,Titanium-Dibodide,4.52,2800.0,3225.0,65.0,0.6,Aluminum smelting erosion,matweb.com
193-MAT-021,Silicon-Nitride,3.44,1800.0,1900.0,30.0,0.88,High-speed bearings,matweb.com
193-MAT-022,Chrome-Carbide-NiCr,6.8,1000.0,1260.0,12.0,0.6,High-temp erosion,matweb.com
193-MAT-023,Tin-Babbitt,7.3,30.0,240.0,25.0,0.1,Journal bearing liners,matweb.com
193-MAT-024,Iron-Aluminide,6.0,350.0,1300.0,18.0,0.4,Sulfidation resistance,matweb.com
193-MAT-025,Titanium-Aluminide,3.8,550.0,1460.0,22.0,0.35,Lightweight engine valves,matweb.com
193-MAT-026,Hard-Chrome,7.1,1000.0,1907.0,93.9,0.1,Hydraulic cylinder rods,matweb.com
193-MAT-027,Pure-Silver,10.5,100.0,961.0,429.0,0.02,Electrical busbars,matweb.com
193-MAT-028,Magnetite-Black-Oxide,7.8,20.0,1590.0,,0.88,Optical tooling,matweb.com
193-MAT-029,Boron-Carbide,2.52,3000.0,2763.0,35.0,0.88,Neutron shielding,matweb.com
193-MAT-030,Titania-TiO2,4.23,850.0,1843.0,11.8,0.92,Photocatalytic surfaces,matweb.com
193-MAT-031,Moly-Silicide,6.31,900.0,2030.0,50.0,0.7,High-temp heating,matweb.com
193-MAT-032,Barium-Titanate,6.02,500.0,1625.0,6.0,0.9,Capacitor film,matweb.com
193-MAT-033,Zinc-Oxide,5.61,200.0,1975.0,54.0,0.85,Varistor protection,matweb.com
193-MAT-034,Tin-Oxide,6.95,700.0,1630.0,,0.8,Conductive glass,matweb.com
193-MAT-035,Pure-Copper,8.96,100.0,1085.0,401.0,0.05,Heat management,matweb.com
193-MAT-036,Pure-Aluminum,2.7,50.0,660.0,237.0,0.05,Atmospheric corrosion,matweb.com
193-MAT-037,Pure-Nickel,8.9,200.0,1455.0,90.9,0.1,Dimensional restoration,matweb.com
193-MAT-038,Electrolytic-Iron,7.87,150.0,1538.0,80.4,0.15,Cast iron repair,matweb.com
193-MAT-039,Cobalt-Pure,8.9,300.0,1495.0,100.0,0.15,Magnetic storage,matweb.com
193-MAT-040,Permalloy-NiFe,8.3,400.0,1450.0,20.0,0.15,Magnetic shielding,matweb.com
193-MAT-041,Invar-36,8.05,150.0,1425.0,10.1,0.2,Precision dimension,matweb.com
193-MAT-042,Kovar-FeNiCo,8.36,160.0,1450.0,17.3,0.2,Glass-to-metal seals,matweb.com
193-MAT-043,Moly-TZM,10.22,250.0,2620.0,126.0,0.18,Aerospace high-temp,matweb.com
193-MAT-044,Titanium-G2,4.51,200.0,1665.0,16.4,0.15,Chemical heat exchange,matweb.com
193-MAT-045,Zirconium-702,6.51,150.0,1850.0,22.0,0.2,Corrosive acid towers,matweb.com
193-MAT-046,NiCr-80/20,8.4,200.0,1400.0,13.4,0.3,Heating elements,matweb.com
193-MAT-047,Brass-70/30,8.53,80.0,950.0,121.0,0.1,Hardware/Ammunition,matweb.com
193-MAT-048,Bronze-Phosphor,8.85,110.0,1050.0,47.0,0.12,Bearing bushes,matweb.com
193-MAT-049,Copper-Beryllium,8.25,350.0,980.0,105.0,0.15,Non-sparking tools,matweb.com
193-MAT-050,Hard-Gold,17.5,150.0,1064.0,318.0,0.05,Electronic contacts,matweb.com
193-MAT-051,Soft-Gold,19.32,30.0,1064.0,317.0,0.05,Semiconductor bonding,matweb.com
193-MAT-052,Pure-Platinum,21.45,80.0,1768.0,71.0,0.05,Catalytic labware,matweb.com
193-MAT-053,Palladium,12.02,400.0,1555.0,71.0,0.1,Sensor catalysts,matweb.com
193-MAT-054,Ruthenium,12.45,350.0,2334.0,117.0,0.1,High-reliability switches,matweb.com
193-MAT-055,Stainless-Steel-310,7.89,180.0,1400.0,14.2,0.3,Furnace components,matweb.com
193-MAT-056,Duplex-2205,7.82,290.0,1420.0,19.0,0.3,Marine processing,matweb.com
193-MAT-057,Monel-400,8.8,180.0,1300.0,21.8,0.2,Hydrofluoric acid resist,matweb.com
193-MAT-058,Al-Silicon-12,2.65,70.0,580.0,160.0,0.1,Piston coatings,matweb.com
