Material Name,Density (g/cc),Melting Point (°C),Specific Heat (J/g-°C),Thermal Cond. (W/m-K),CTE (µm/m-°C),Flash Point (°C),Autoignition Temp (°C),UL94 Flammability,Limiting Oxygen Index (%),Smoke Density (Ds),Char Yield (%),Decomp. Temp (°C),Heat of Combustion (MJ/kg),Flame Spread Index
1,,0.62,-109.0,1.48,,-76.0,415.0,,,,0.0,,44.5,
1-Butene,0.59,-185.0,1.55,,-80.0,385.0,,,,0.0,,45.2,,
2-Butene (cis),0.62,-139.0,1.5,,-73.0,325.0,,,,0.0,,45.0,,
2-Butene (trans),0.6,-105.0,1.5,,-73.0,325.0,,,,0.0,,45.0,,
A-286 Alloy,7.92,1370.0,0.46,15.1,16.0,,,Non,0.0,0.0,0.0,1370.0,0.0,0.0
ABS (FR Grade),1.18,105.0,1.35,0.2,80.0,385.0,420.0,V-0,30.0,100.0,25.0,360.0,32.0,30.0
ABS Pipe,1.05,,1.4,0.18,90.0,,415.0,HB,19.0,600.0,10.0,250.0,35.0,250.0
ABS Resin,1.05,220.0,1.45,0.18,90.0,380.0,416.0,HB,18.8,85.0,10.0,360.0,35.6,140.0
AIBN (Azobisisobutyronitrile),1.1,105.0,1.5,0.15,,,,,,500.0,15.0,105.0,24.0,
AM-350 Steel,7.81,1410.0,0.45,15.5,11.5,,,Non,0.0,0.0,0.0,1410.0,0.0,0.0
ASA (Acrylonitrile Styrene Acrylate),1.07,,1.4,0.18,90.0,,430.0,HB,19.0,500.0,8.0,270.0,33.0,250.0
ASA Resin,1.07,105.0,1.3,0.17,95.0,375.0,410.0,HB,19.0,90.0,8.0,350.0,35.0,145.0
ASTAR 811C,16.8,3005.0,0.14,50.0,6.5,,,Non,0.0,0.0,0.0,3005.0,0.0,0.0
Acetal (Impact Modified),1.35,165.0,1.5,0.21,120.0,320.0,370.0,HB,15.0,12.0,0.0,230.0,23.0,190.0
Acetal (POM),1.42,175.0,1.47,0.23,105.0,320.0,375.0,HB,15.0,10.0,0.0,230.0,22.5,180.0
Acetaldehyde,0.78,-123.0,2.18,0.17,-38.0,175.0,,,,0.0,,25.1,,
Acetic Acid,1.05,16.6,2.05,0.16,39.0,463.0,,,,0.0,,14.5,,
Acetic Anhydride,1.08,-73.0,1.85,0.22,49.0,316.0,,,,0.0,,18.0,,
Acetone,0.79,-95.0,2.15,0.16,-20.0,465.0,,,,0.0,,28.5,,
Acetonitrile,0.78,-45.0,2.25,0.19,6.0,524.0,,,,0.0,,31.2,,
Acetylene,0.001,-81.0,1.65,,-18.0,305.0,,,,0.0,,48.2,,
Acoustic Ceiling Tile (Mineral),0.35,,0.85,0.06,7.0,,,V-0,35.0,30.0,40.0,400.0,15.0,20.0
Acrolein,0.84,-87.0,2.15,0.15,-26.0,220.0,,,,0.0,,28.0,,
Acrylic (Impact Modified),1.15,155.0,1.45,0.18,80.0,305.0,435.0,HB,17.5,75.0,0.0,305.0,26.5,155.0
Acrylic Latex Caulk,1.5,,1.5,0.3,120.0,,,HB,22.0,150.0,10.0,240.0,22.0,80.0
Acrylic Rubber (ACM),1.1,,1.775,0.21000000000000002,185.0,330.0,390.0,HB,18.5,245.0,15.0,300.0,32.0,145.0
Acrylic Sheet (PMMA),1.18,,1.45,0.19,75.0,,445.0,HB,18.0,100.0,5.0,280.0,26.0,100.0
Acrylonitrile,0.81,-84.0,2.1,0.15,-1.0,481.0,,,,0.0,,32.5,,
Actinium Metal,10.0,1050.0,0.12,12.0,14.9,,,Non,0.0,0.0,0.0,1050.0,0.0,0.0
Adipic Acid,1.36,152.0,1.5,0.14,196.0,420.0,,,,20.0,338.0,18.6,,
Adobe Brick (Sun-dried),1.75,,1.05,0.5,7.0,,,Non,0.0,0.0,0.0,600.0,0.0,0.0
Aerogel (Silica Blanket),0.15,1200.0,0.8,0.015,3.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Aerogel (Silica),0.02,,0.75,0.01,3.0,,,Non,0.0,0.0,0.0,600.0,0.0,0.0
Alabaster,2.32,,1.05,0.6,15.0,,,Non,0.0,0.0,0.0,150.0,0.0,0.0
Alloy 19,8.5,1300.0,0.42,14.0,11.8,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0
Alloy 20,8.05,1385.0,0.5,12.1,14.7,,,Non,0.0,0.0,0.0,1385.0,0.0,0.0
Alloy 230,8.97,1300.0,0.4,8.9,12.7,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0
Alloy 31,8.1,1350.0,0.5,11.5,15.2,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0
Alloy 556,8.23,1330.0,0.45,10.5,14.5,,,Non,0.0,0.0,0.0,1330.0,0.0,0.0
Alloy 59,8.6,1310.0,0.41,10.5,12.0,,,Non,0.0,0.0,0.0,1310.0,0.0,0.0
Alloy 625 (Inconel),8.44,1320.0,0.41,9.8,12.8,,,Non,0.0,0.0,0.0,1320.0,0.0,0.0
Alloy 6B,8.38,1285.0,0.42,14.8,11.3,,,Non,0.0,0.0,0.0,1285.0,0.0,0.0
Alloy 6K,8.44,1290.0,0.42,14.8,11.5,,,Non,0.0,0.0,0.0,1290.0,0.0,0.0
Alloy 825 (Incoloy),8.14,1370.0,0.44,11.0,14.0,,,Non,0.0,0.0,0.0,1370.0,0.0,0.0
Alloy C-22,8.69,1370.0,0.41,10.1,12.4,,,Non,0.0,0.0,0.0,1370.0,0.0,0.0
Alloy HR-120,7.72,1370.0,0.48,11.3,15.5,,,Non,0.0,0.0,0.0,1370.0,0.0,0.0
Alloy HR-160,8.08,1260.0,0.44,9.5,14.1,,,Non,0.0,0.0,0.0,1260.0,0.0,0.0
Alnico 2,7.1,1250.0,0.46,40.0,12.4,,,Non,0.0,0.0,0.0,1250.0,0.0,0.0
Alnico 5 (Magnet),7.3,1250.0,0.46,46.0,11.0,,,Non,0.0,0.0,0.0,1250.0,0.0,0.0
Alnico 8,7.3,1250.0,0.46,42.0,11.0,,,Non,0.0,0.0,0.0,1250.0,0.0,0.0
Alumel (Alloy N),8.6,1400.0,0.52,29.7,12.0,,,Non,0.0,0.0,0.0,1400.0,0.0,0.0
Alumina (90%),3.6,1900.0,0.88,18.0,8.5,,,Non,0.0,0.0,0.0,1900.0,0.0,0.0
Alumina (96%),3.72,2000.0,0.8400000000000001,24.5,8.2,,,Non,0.0,0.0,0.0,2000.0,0.0,0.0
Alumina (99.5%),3.895,2050.0,0.8400000000000001,30.0,8.0,,,Non,0.0,0.0,0.0,2050.0,0.0,0.0
Alumina Fiber (Saffil),3.3,2000.0,0.825,0.1,8.0,,,Non,0.0,0.0,0.0,2000.0,0.0,0.0
Alumina Foam,0.6,2050.0,0.8,2.5,8.0,,,Non,0.0,0.0,0.0,2050.0,0.0,0.0
Aluminum (1100),2.71,660.0,0.9,220.0,23.6,,,Non,0.0,0.0,0.0,660.0,0.0,0.0
Aluminum (2024-T3),2.78,638.0,0.88,121.0,22.9,,,Non,0.0,0.0,0.0,638.0,0.0,0.0
Aluminum (5052-H32),2.68,649.0,0.88,138.0,23.8,,,Non,0.0,0.0,0.0,649.0,0.0,0.0
Aluminum (6061-T6),2.7,650.0,0.9,167.0,23.6,,,Non,0.0,0.0,0.0,650.0,0.0,0.0
Aluminum (7075-T6),2.81,635.0,0.96,130.0,23.4,,,Non,0.0,0.0,0.0,635.0,0.0,0.0
Aluminum 2024-T3,2.78,502.0,0.88,121.0,23.2,,,Non,0.0,0.0,0.0,502.0,0.0,0.0
Aluminum 356 (Cast),2.67,557.0,0.96,151.0,21.4,,,Non,0.0,0.0,0.0,557.0,0.0,0.0
Aluminum 380 (Die Cast),2.71,538.0,0.96,96.0,21.0,,,Non,0.0,0.0,0.0,538.0,0.0,0.0
Aluminum 5052-H32,2.68,607.0,0.88,138.0,23.8,,,Non,0.0,0.0,0.0,607.0,0.0,0.0
Aluminum 6061-T6,2.7,582.0,0.89,167.0,23.6,,,Non,0.0,0.0,0.0,582.0,0.0,0.0
Aluminum 7075-T6,2.81,477.0,0.96,130.0,23.6,,,Non,0.0,0.0,0.0,477.0,0.0,0.0
