Material_Name,Source_File,LABORATORY,TEST IDENT,OPERATOR,MATERIAL,ORIENTATION,HEAT FLUX,SURF AREA,C FACTOR,SPEC HOLDER DIFF,SPECIMEN MASS,SCAN TIME,O2 DELAY TIME,CO DELAY TIME,CO2 DELAY TIME,FLOW FACTOR,SCAN COUNT,TIME TO IGN,END OF TEST SCAN,END OF TEST TIME,TEST STATUS,PRE TEST CMT,POST TEST CMT,,POST TEST CMT
ABS,ABS_Cone_HF25Scalar_220217_R1.csv,FSRI,PlasticA_HF25_1,Dow,Plastic A,Horizontal,25,0.009999999776,0.03936708719,305.0999756,32.70000076,0.25,11,11,8,1,1632,113,1152,288,1,Dimensions: 100.06 x 100.24 x 3.04 mm,,,
ABS,ABS_Cone_HF25Scalar_220217_R2.csv,FSRI,PlasticA_HF25_2,Dow,Plastic A,Horizontal,25,0.009999999776,0.03936708719,305.3300171,32.5,0.25,11,11,8,1,1640,110,1160,290,1,Dimensions: 100.36 x 100.07 x 3.05 mm,,,
ABS,ABS_Cone_HF25Scalar_220217_R3.csv,FSRI,PlasticA_HF25_3,Dow,Plastic A,Horizontal,25,0.009999999776,0.03936708719,305.2800293,32.70000076,0.25,11,11,8,1,1610,108.25,1130,282.5,1,Dimensions: 100.10 x 100.25 x 3.05 mm,,,
ABS,ABS_Cone_HF50Scalar_220217_R1.csv,FSRI,PlasticA_HF50_1,Dow,Plastic A,Horizontal,50,0.009999999776,0.03936708719,305.3499756,32.59999847,0.25,11,11,8,1,1043,25.25,563,140.75,1,Dimensions: 100.09 x 100.16 x 3.09 mm,,,
ABS,ABS_Cone_HF50Scalar_220217_R2.csv,FSRI,PlasticA_HF50_2,Dow,Plastic A,Horizontal,50,0.009999999776,0.03936708719,304.9199829,32.5,0.25,11,11,8,1,1053,25,573,143.25,1,Dimensions: 100.08 x 99.81 x 3.07 mm,,,
ABS,ABS_Cone_HF50Scalar_220217_R3.csv,FSRI,PlasticA_HF50_3,Dow,Plastic A,Horizontal,50,0.009999999776,0.03936708719,298.7999878,32.29999924,0.25,11,11,8,1,1047,25.75,567,141.75,1,Dimensions: 99.96 x 100.24 x 3.03 mm,,,
ABS,ABS_Cone_HF75Scalar_220218_R1.csv,FSRI,PlasticA_HF75_1,Dow,Plastic A,Horizontal,75,0.009999999776,0.03856921941,300.8099976,32.29999924,0.25,11,11,8,1,884,12.25,404,101,1,Dimensions: 100.19 x 100.15 x 3.00 mm,Sample slightly expanded prior to ignition and touched the spark ignitor causing a spike in mass data. Did not appear to affect time to ignition.,,
ABS,ABS_Cone_HF75Scalar_220218_R2.csv,FSRI,PlasticA_HF75_2,Dow,Plastic A,Horizontal,75,0.009999999776,0.03856921941,300.8200073,32.40000153,0.25,11,11,8,1,910,12.75,430,107.5,1,Dimensions: 99.83 x 100.09 x 3.06 mm,,,
ABS,ABS_Cone_HF75Scalar_220218_R3.csv,FSRI,PlasticA_HF75_3,Dow,Plastic A,Horizontal,75,0.009999999776,0.03856921941,300,32.09999847,0.25,11,11,8,1,879,13,399,99.75,1,Dimensions: 99.93 x 100.04 x 3.03 mm,,,
Asphalt_Shingle,Asphalt_Shingle_Cone_HF25Scalar_220415_R1.csv,FSRI,Shingles_HF25_1,Dow,Fiberglass asphalt shingles,Horizontal,25,0.009999999776,0.04036645219,-566,35.86000061,0.25,11,11,8,1,2056,86,1576,394,1,Dimensions: 101.89 x 101.05 x 2.50 mm,Test picture available.,,
